elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",Electricity; at grid; consumption mix - Nevada Power Company - BA,"rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Powder River Basin, SUB, Surface",0.02122700335104101,0.18063156792070104,0.04898298777771835,0.034032549770116195,0.968792340818911,0.6709086782264442,0.04938277300074122,0.48199442403680015,0.009528956064853567,0.5248968093608657,0.11817714494513704,9.64941760406041,1.3529681032601857,0.00998472186176703,0.03003167005479794,0.2375341615912776,0.10449237465330283,0.055174327971874215,0.09698182583458244,1.4363414156811707,0.11241583939686049,0.27988209977355605,2.033535686808149,1.4084,0.0,0.0,0.0018205296450716428,0.0001331334123461888,1.4829803406633302e-08,0.04384979059296476,1.4189,1.4285,1.416,mca
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",Electricity; at grid; consumption mix - Nevada Power Company - BA,"rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Powder River Basin, SUB, Surface",0.06552027416142892,0.17107797318308035,0.04527966271069521,0.03359419152567988,0.7612652715584308,0.6885861710113086,0.04145033795611445,0.3746687330149402,0.009544548190428832,0.5086369094074648,0.12550931699843687,10.207356550306617,1.292596313920246,0.009887206988541362,0.0235134683981012,0.2374180214048512,0.09373038702477085,0.050765265179783095,0.04354564753950809,0.9329153431013937,0.10139831193017917,0.3950129926280145,2.024891653448635,1.1854,0.0,0.0,0.001624231681739509,0.00012268456594287575,1.4410618076859743e-08,0.03901605293402155,1.1948,1.2033,1.1921,mca
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",Electricity; at grid; consumption mix - Nevada Power Company - BA,"rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Powder River Basin, SUB, Surface",0.06383925736689745,0.18605248979271477,0.04039950846367504,0.034893187659203934,0.9009745872128074,0.7964740230385873,0.042122227114038756,0.5419812205192404,0.010424490624376568,0.49770924012434326,0.11450114517249965,9.53874044768809,1.3159865124076284,0.009651336215575082,0.033741070745503546,0.0974837713527452,0.051240985819713585,0.04179850968795416,0.05963142696378351,1.1865657572736725,0.11902630541302023,0.2726897149965205,1.5230153994416533,1.1584,0.0,0.0,0.0018916658116445988,0.00013255522630583916,1.531092527960782e-08,0.04532643149063237,1.1691,1.1787,1.1661,mca
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",Electricity; at grid; consumption mix - Nevada Power Company - BA,"rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Powder River Basin, SUB, Surface",0.035664031059156824,0.19659957598133687,0.05723394412386641,0.033081820803256654,0.9117962488633169,0.6813746545666082,0.04346568888831924,0.5674068850583595,0.00994757761729147,0.5283311716510642,0.11648092795968351,10.022097296049346,1.258186123123364,0.010306265822541204,0.04819307184804354,0.23549260582029016,0.08978089607222496,0.07585031862153355,0.07310234695558541,1.0852083811373288,0.10855022521274152,0.3227703563198874,1.5064899102040394,1.3607,0.0,0.0,0.0019934804614686837,0.00014205069091946025,1.571074212715547e-08,0.04774446852091706,1.3719,1.3822,1.3688,mca
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",Electricity; at grid; consumption mix - Nevada Power Company - BA,"rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Powder River Basin, SUB, Surface",0.033538821374738195,0.20491296547712443,0.04009016316595953,0.03621954573907959,0.9126784363259626,0.5604975823292265,0.016543732178861216,0.47657713235785965,0.010395911096253577,0.48954006409057904,0.1199222158350139,9.56133544135741,1.2357676686057883,0.010343091682905332,0.03552683623091231,0.07832054919858122,0.1458447960774738,0.059096551556641806,0.05366549299027297,1.0591877386516861,0.13363652935083317,0.5147008869066779,2.3864706840044616,1.5682,0.0,0.0,0.001913483441003127,0.00014238974757755784,1.5532558850449702e-08,0.04607285877074446,1.5793,1.5893,1.5762,mca
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",Electricity; at grid; consumption mix - Nevada Power Company - BA,"rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Powder River Basin, SUB, Surface",0.04358151174764828,0.22155904105712956,0.04560896634285233,0.03849555984615892,0.8493687662061741,0.6637048538380326,0.02173047474057283,0.4382975584488916,0.009747643707391698,0.4885410026346104,0.12216395869058844,9.705622326325557,1.3475710554681546,0.009578538870518398,0.035370247038425146,0.07998446104778788,0.08493480432332637,0.07999384070738086,0.08120804615000846,1.4001024305809653,0.14733523148966032,0.4178027892850615,2.030562104400482,1.4647,0.0,0.0,0.0018047299805185875,0.0001331638285855668,1.506478643935756e-08,0.04351478755382465,1.4751,1.4845,1.4722,mca
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",Electricity; at grid; consumption mix - Nevada Power Company - BA,"rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Powder River Basin, SUB, Surface",0.07326734101011649,0.16645692408817417,0.059658890660331414,0.0405708390111066,0.981294798356341,0.6903002202192409,0.040937491766567684,0.5044071624685323,0.01009163109030583,0.5006164318881131,0.12426589854230614,9.464910885956773,1.3411692137712017,0.009727329240379367,0.020566662010508507,0.0799575834429828,0.14863829052266775,0.10683778619959394,0.0528689522631693,1.2402265754718869,0.10120737535147849,0.3201028544910718,1.561882724244009,1.3876,0.0,0.0,0.00191042061166905,0.0001384050909203392,1.5502239368399824e-08,0.046066137949937046,1.3986,1.4086,1.3955,mca
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",Electricity; at grid; consumption mix - Nevada Power Company - BA,"rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Powder River Basin, SUB, Surface",0.07623524039677398,0.18053057623618723,0.045909872625320904,0.03486304053328887,0.8787142552924493,0.6394827938368373,0.03610214828411937,0.5240457737680626,0.010369899110590742,0.5125421506274829,0.11917122993226367,9.645567030303015,1.350760740308126,0.010195196010511427,0.04582226888949362,0.14568420814883376,0.0707354222412973,0.06523789250760406,0.08248208568117305,1.2303109725431556,0.1416723377331755,0.4328443500310858,1.7586538383327093,1.542,0.0,0.0,0.0019945169068502078,0.00014505649909034817,1.6014018785246377e-08,0.047833692438642224,1.5533,1.5636,1.5502,mca
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",Electricity; at grid; consumption mix - Nevada Power Company - BA,"rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Powder River Basin, SUB, Surface",0.038619236478354545,0.20369080889839616,0.057970629813842836,0.04436711176103327,0.8820477712794565,0.6498724076819988,0.04209988950208049,0.4898200444381271,0.010104321152892807,0.5318969139338711,0.12430233914633457,9.544694419187627,1.326113468964667,0.009695401502392008,0.03407867493877957,0.08611889904051447,0.11010947853723561,0.0745319186249959,0.09712531170765673,1.0748329271873982,0.1316322086373988,0.34219932058947544,1.5551118571998446,1.3888,0.0,0.0,0.0019011891883421326,0.00013892847543529424,1.5379014483735106e-08,0.04588641052259486,1.3997,1.4096,1.3966,mca
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",Electricity; at grid; consumption mix - Nevada Power Company - BA,"rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Permian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - Powder River Basin, SUB, Surface",0.057831453001534035,0.1953317457534559,0.049806789778919086,0.03665046721877573,0.8649552139406945,0.7931885846934462,0.04995591615752784,0.4903468840611317,0.01017266341128516,0.48899563655349326,0.1190432882673955,10.394405131481701,1.3130227904485703,0.009913662913100581,0.027925955307904544,0.1327589099081296,0.14889537085405302,0.05970146531600483,0.06468792535972194,1.1748751708511416,0.1390675262348045,0.3103133116019038,2.155874852403208,1.1502,0.0,0.0,0.0017977660256761393,0.0001277381646155662,1.492104416676887e-08,0.043173298918988905,1.1605,1.1697,1.1576,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.030597172077318227,0.19945424318111488,0.042967653521729425,0.04251493509590741,0.7965870092334257,0.6129055228977056,0.025967882846043185,0.4734781259948258,0.009936106342594566,0.5291847124668032,0.11613285999996537,10.190719265269017,1.3584793363207117,0.00981599703001651,0.022834652711420645,0.1867035648464369,0.08990455142141271,0.06377463704799002,0.10842761457379442,1.0378072727965721,0.12284904737404762,0.3004279184676559,1.8449868847583637,1.4307,0.0,0.0,0.0020494207165994054,0.00013722380203460552,2.027307907946119e-08,0.0421125693724731,1.4405,1.4496,1.4377,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.058561726849062815,0.16864272135568006,0.04423265659018107,0.043806799969992,0.886702999212079,0.8061232937059077,0.019113465792608437,0.3926750910478152,0.010383842502421631,0.4840105926732342,0.11666999169128647,10.093808294865852,1.3503504363219208,0.009584561761324453,0.02033470130518763,0.19753566411853557,0.06564524759828172,0.058814892823915235,0.06644838374793603,1.228723826496084,0.10077334854088611,0.2339969533470776,1.886394717796887,1.0794,0.0,0.0,0.0017166293207451287,0.000113414109523116,1.842419571229674e-08,0.03492363591119716,1.0879,1.0956,1.0854,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.02380980884715091,0.22164887763449315,0.05576582425000581,0.03282881054581968,0.7992139195146936,0.6262618418308672,0.04483223621253526,0.5977444943417974,0.010456373826755242,0.5022447744703513,0.12269682005844984,9.777457146275117,1.2840310585101362,0.009579917924521146,0.049105564653319486,0.07859424687510431,0.06749518173070754,0.03575231533046462,0.08952677437616163,1.3089997481811908,0.11599020121946116,0.34673226523109624,1.6473750724315488,1.6458,0.0,0.0,0.0022654367839242615,0.0001463640179655639,2.211066897086418e-08,0.04594521662034289,1.6564,1.6662,1.6534,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.02110098043296544,0.1984252273643547,0.056422791377220144,0.041262618454591754,0.8792480643921682,0.6078440470375293,0.01074827848035397,0.4779758399389934,0.010172504534483994,0.519112637085382,0.12398912662443146,9.964544211156579,1.238213320338734,0.009578552776554382,0.024219492260015203,0.18368516432934495,0.14055407299370754,0.029754934233933057,0.08395986678960186,1.2677903415486607,0.13480529785082238,0.2397368090170749,1.347567284811467,1.5051,0.0,0.0,0.002040326159937967,0.00013641160581204896,2.0139515343505587e-08,0.04199965087214481,1.515,1.524,1.5121,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.05583686919731382,0.21234764549400884,0.04281566320342052,0.041498503843229985,0.8946327647977258,0.6402010583783047,0.04873624528015662,0.4614909541924625,0.009578603461475089,0.5022170620227955,0.11845709232854862,9.498431767945718,1.3425558629349266,0.010455198284362748,0.030954600637356867,0.11689620461194215,0.06723594454036494,0.0839322446272505,0.09779995124602467,1.109435386668967,0.1467067460934154,0.4034293304783094,1.8360305890566018,1.5095,0.0,0.0,0.002073226872505295,0.0001386446744022614,2.0539669133865326e-08,0.042672484785073544,1.5196,1.5289,1.5167,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.06390136684050475,0.18207447548878136,0.04196436603251057,0.03934338534821485,0.8724021425449683,0.5644514482004171,0.012721082726322993,0.5785161679687552,0.010104155668651485,0.5083941863920012,0.12236314199446112,9.892248304903081,1.303451489031457,0.00978793068207589,0.02759282924526727,0.0987375403885399,0.07376387337629678,0.0723917454235036,0.05074978207703608,1.1030612743784363,0.09929161689930388,0.295647878302712,1.311266107973449,1.634,0.0,0.0,0.0023232467376709284,0.00015292594219897953,2.2578912448886287e-08,0.047681603747810206,1.6448,1.6548,1.6417,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.0699715113446943,0.17531496110383007,0.045455038004397395,0.033991207901633076,0.8947142487122984,0.7033379384906394,0.04268486348117363,0.5125328109855214,0.010267834704175059,0.5154835968916207,0.12435122026400883,10.312903306061118,1.251060156382649,0.01007687785913408,0.026629344983983453,0.15282279580609473,0.12741239229886903,0.0833067740298581,0.08066702871308198,1.2899664334869634,0.11714181563693474,0.40618593263023606,1.378614147755877,1.4685,0.0,0.0,0.002070187955976334,0.00013543494469153743,2.0993341818844317e-08,0.042227111958255,1.4784,1.4874,1.4755,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.06660751083967383,0.19901980445504777,0.04660816516255327,0.04089935594203487,0.7898757543203399,0.8196424474200499,0.01987577830813929,0.48905809932758615,0.009771588078606001,0.507912642267523,0.11667937294108355,9.56940575362751,1.282469127136239,0.010201576340312542,0.05166886185332008,0.10634356468373599,0.10501747120247831,0.06981942668623381,0.05924256764052447,1.144110076015751,0.15176841185599887,0.38390809972388107,2.2903811156101055,1.1638,0.0,0.0,0.0019172653407663648,0.0001219538777490579,2.023226019150415e-08,0.03834127018985972,1.1731,1.1815,1.1703,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.034876965003050604,0.1814506129863776,0.05702157170656695,0.04404550007331911,0.8970830959491563,0.6724743543594252,0.03376091931963258,0.5293094775953195,0.010008796368785152,0.49915857766180866,0.12519788873412502,9.548522855693657,1.2864569374046613,0.010102270865171624,0.048908689774961475,0.14677531714252537,0.13410810633298387,0.09572615084045921,0.10041213420059021,0.8967106102007985,0.12075544042500741,0.34541914180256317,1.181292917611218,1.3594,0.0,0.0,0.0020984456399064204,0.0001370797167059367,2.08546727091459e-08,0.04291591145832417,1.3694,1.3786,1.3665,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.06582483745069094,0.18508220325986136,0.04746288218302635,0.04457724579511629,0.8951843021550515,0.7331848957494573,0.015095062467686243,0.4430718445252665,0.010388705593881511,0.5148730856144683,0.12585215601259947,10.045400511794412,1.3337445432703599,0.01015285221527064,0.04821408362647159,0.20600649066039928,0.14509162238724121,0.09242001569298743,0.09365803200645612,0.8968480867301234,0.12256922198076628,0.417964423026198,1.1033384047447017,1.2371,0.0,0.0,0.0019229039088941497,0.00012688583569537215,1.979383704271413e-08,0.03929446508631423,1.2465,1.2551,1.2437,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - JEA - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.029371009048539114,0.2047383424511098,0.04475107454496203,0.04257437852550487,0.8109842092923946,0.705789368432397,0.028631957603330788,0.4251204866461371,0.009531263102151782,0.4832642810801407,0.12271072392562588,10.307592159140038,1.2758805352545048,0.01023817871337147,0.034018756848014274,0.21683501003228062,0.07063655000155268,0.08185119331172189,0.09124312694363551,1.0838995409655237,0.12623336728030987,0.288794962604803,1.65948444503033,1.3924,0.0,0.0,0.001660094114012892,0.00012170100054805828,1.650055125117765e-08,0.03821017039616078,1.4183,1.4463,1.4143,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - JEA - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.05938020991480628,0.1983529638734728,0.05523710865775296,0.039512346183178955,1.0026517435750217,0.8190946211689978,0.04909847061012667,0.5736804016640995,0.010251063942118907,0.5251278789103101,0.12009599722902432,9.661408649133389,1.3371059458585581,0.009674139815468857,0.031354230322856565,0.11719366798164166,0.103446885193047,0.09226784635037522,0.08801802881805827,1.0576369421411576,0.12166410549014119,0.41348232971821663,2.075848393657901,1.3619,0.0,0.0,0.0018587396337292846,0.0001283405997448414,1.7648508417718123e-08,0.04273342438491813,1.382,1.4031,1.3784,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - JEA - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.07952476051664358,0.19587891853649572,0.0588393777150807,0.040623413504520166,0.8646490672181069,0.6460065190879969,0.016737664492336372,0.6510583344314544,0.00986471411367347,0.5138137168937276,0.11594848419921738,10.038924024752845,1.3199714493011867,0.010190801957636053,0.03060946112996981,0.09853521097437211,0.05312773767233813,0.05170192975415443,0.06011218347361335,1.427259461977354,0.10447184006864005,0.25703007195171507,1.9401691010634687,1.8932,0.0,0.0,0.0021802473843841263,0.00015180507167364226,1.9594733642105388e-08,0.0499662714733717,1.9253,1.9602,1.9205,mca
Electricity; at grid; consumption mix - ISO-NE - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - JEA - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.04665682832890851,0.18840787254694377,0.05080175349089062,0.044814246972707014,0.7456009436219333,0.7103335036511819,0.031787648244618785,0.5720065454164117,0.009501458755461921,0.5144633822855875,0.1235200371717589,10.291517397804022,1.3618036984833184,0.009975418844408583,0.02008277446779779,0.16841550792007548,0.07433576165525295,0.0833668940527661,0.04638203935180048,1.0715027091175833,0.13785561174981142,0.43126000754910077,1.7168701405551472,1.5653,0.0,0.0,0.0019021236390666931,0.00013372897564418236,1.7956872071904993e-08,0.043484516454968127,1.5918,1.6204,1.5876,mca
